race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,extraversion,neuroticism,agreeableness,conscientiousness,openness
3,17,Not English (native),Female,Right,Test site,IT,1,1,2,1,1,2,1,2,1,1,5,3,5,3,2,5,3,3,4,3,4,4,4,4,5,5,5,4,3,3,3,2,3,2,1,1,3,3,3,3,5,3,5,3,4,5,3,5,4,5,1.3,3.6,4.1,2.4,4.2
13,15,Not English (native),Male,Right,Test site,IN,3,3,5,3,3,3,2,2,3,3,1,1,3,3,2,3,2,3,2,4,2,4,4,2,1,5,4,5,4,4,3,3,4,3,3,1,3,3,3,4,3,5,4,5,4,1,4,3,4,5,3,2.4,3.5,3,3.8
13,22,English (native),Female,Right,Google,US,3,3,4,4,4,4,2,3,4,3,3,3,3,3,2,2,4,4,2,3,5,4,5,5,5,5,4,4,5,4,4,4,4,4,3,2,4,5,5,4,3,4,4,4,3,4,3,3,5,4,3.4,2.9,4.6,3.9,3.7
3,21,English (native),Female,Right,NA,US,1,3,2,1,1,5,1,1,1,1,5,3,5,4,5,5,3,2,5,3,5,1,5,4,4,3,1,4,4,2,5,4,5,5,3,4,5,4,4,4,3,5,3,3,4,5,4,3,5,4,1.7,4,3.3,4.3,3.9
3,28,Not English (native),Female,Right,Google,US,3,3,3,2,3,4,2,2,3,1,2,2,4,2,4,4,2,2,3,2,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,2,4,4,2.6,2.7,4,4,3.6
3,21,English (native),Male,Right,NA,US,2,3,2,3,3,5,1,3,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,4,4,4,5,3,4,4,5,4,5,4,5,5,5,5,5,4,4,5,5,2.8,1.9,1.7,4.2,4.7
13,19,English (native),Female,Right,Google,FR,1,3,2,2,2,2,1,2,3,2,4,4,3,4,1,3,1,2,2,3,2,2,3,1,2,1,1,3,1,1,4,3,5,4,2,2,3,5,3,5,5,5,4,5,4,5,5,5,5,4,2,2.7,1.7,3.6,4.7
3,21,English (native),Female,Right,NA,US,4,5,5,4,5,5,5,3,5,5,5,4,5,4,3,3,3,3,4,2,5,5,4,5,4,5,5,5,5,3,3,2,3,3,1,5,3,3,4,3,3,5,3,3,3,3,5,4,3,3,4.6,3.6,4.6,3,3.5
3,26,English (native),Female,Both,NA,GB,2,3,4,3,1,2,1,2,1,1,4,4,5,4,1,4,2,2,2,2,4,2,4,2,4,5,4,4,2,3,4,5,5,5,4,4,5,5,5,4,4,5,4,4,4,4,5,3,2,2,2,3,3.4,4.6,3.7
3,26,English (native),Female,Right,Test site,US,2,4,3,3,3,3,1,3,3,3,4,2,3,5,3,2,2,2,4,4,5,3,4,4,3,2,3,3,4,4,1,4,5,4,2,5,4,4,2,2,4,4,5,4,2,5,5,3,4,4,2.8,3.1,3.5,3.3,4
13,19,Not English (native),Female,Right,Test site,LT,1,2,2,1,3,2,2,2,3,3,4,2,4,2,4,4,5,5,4,2,2,5,5,5,4,4,5,4,5,3,2,3,4,1,3,2,2,5,1,5,5,3,5,4,4,5,4,3,4,4,2.1,3.6,4.2,2.8,4.1
11,29,Not English (native),Female,Right,Test site,US,2,3,4,4,4,5,3,2,2,3,1,4,2,3,2,1,2,1,2,2,4,4,3,3,5,2,4,4,2,3,4,3,5,5,4,4,4,5,3,4,5,5,4,5,4,5,5,4,4,4,3.2,2,3.4,4.1,4.5
3,29,English (native),Female,Right,Google,US,2,3,1,2,2,2,1,3,3,2,3,3,5,4,3,3,4,3,3,3,5,4,5,4,4,4,3,5,4,3,4,4,4,4,4,5,5,4,4,4,4,4,5,3,4,4,3,4,5,3,2.1,3.4,4.1,4.2,3.9
3,21,English (native),Male,Left,Google,CA,3,3,4,3,4,3,3,3,4,3,3,2,3,1,3,2,2,2,2,2,5,4,4,4,4,5,4,4,4,3,3,2,5,3,2,2,3,4,4,3,3,4,4,4,4,4,5,2,5,3,3.3,2.2,4.1,3.1,3.8
3,52,English (native),Female,Right,Test site,US,3,2,4,2,2,3,3,3,4,1,4,2,4,3,2,2,3,2,1,3,5,4,5,5,3,3,3,3,4,4,3,1,4,3,1,1,4,2,2,4,4,3,4,2,4,4,4,4,5,4,2.7,2.6,3.9,2.5,3.8
3,19,Not English (native),Female,Right,Test site,GR,1,3,2,2,2,3,3,4,2,1,5,2,4,3,2,3,1,1,3,3,1,4,5,5,5,3,5,4,5,4,4,5,5,4,1,2,3,5,2,4,3,1,5,5,4,5,5,3,3,5,2.3,2.7,4.1,3.5,3.9
3,48,English (native),Male,Right,Google,US,5,1,4,5,5,5,5,5,5,4,3,2,4,1,3,3,4,3,3,2,2,5,2,4,2,4,5,2,4,5,2,1,2,1,1,1,3,3,5,5,4,5,5,5,5,5,4,4,2,5,4.4,2.8,3.5,2.4,4.4
3,22,English (native),Male,Right,.edu,US,3,3,4,3,2,4,3,2,2,2,4,3,4,3,2,2,3,3,2,2,5,2,5,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,4,3,3,4,3,2,4,3,2.8,2.8,3.8,3,3.1
1,17,English (native),Female,Right,Test site,US,2,2,3,2,2,4,4,1,1,1,5,2,5,5,3,4,5,4,4,4,3,5,1,4,5,5,5,4,2,3,2,1,3,2,1,4,2,1,3,1,4,3,3,5,4,4,3,3,5,5,2.2,4.1,3.7,2,3.9
3,37,Not English (native),Male,Right,Facebook,DK,3,3,3,3,2,4,4,4,3,2,1,3,4,1,2,3,1,1,2,1,5,4,3,4,3,3,4,4,4,4,4,5,4,4,4,5,2,3,2,4,3,4,4,3,4,4,4,3,4,3,3.1,1.9,3.8,3.7,3.6
1,19,English (native),Female,Right,Test site,US,4,4,1,1,4,5,3,3,1,1,4,2,5,4,2,4,4,3,4,4,4,5,2,5,4,5,4,4,5,4,1,5,3,1,1,2,3,5,1,3,3,3,5,3,3,5,3,3,3,5,2.7,3.6,4.2,2.5,3.6
3,22,English (native),Female,Right,Test site,US,2,3,3,2,3,4,4,1,2,2,5,3,5,4,2,2,3,2,3,3,4,3,4,4,3,3,3,4,5,5,3,2,5,3,2,4,3,3,3,3,4,5,5,5,4,4,5,3,5,5,2.6,3.2,3.8,3.1,4.5
3,25,English (native),Male,Left,.edu,US,4,4,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,2,2,2,4,4,3,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,2,4,4,4,4,3,4,4,4,2.2,3.8,3.8,3.6
3,20,English (native),Female,Right,Test site,US,5,4,4,5,5,5,5,5,5,3,4,3,4,5,1,4,5,5,4,4,5,5,2,4,5,5,5,5,5,4,2,1,1,2,1,1,1,5,1,1,5,5,4,5,4,5,4,5,5,4,4.6,3.9,4.5,1.6,4.6
3,15,English (native),Female,Left,Test site,GB,1,2,3,2,3,3,1,1,1,1,3,3,4,3,1,3,4,2,4,4,2,3,3,3,3,5,1,3,3,3,2,1,3,1,1,2,3,1,2,3,2,3,4,3,2,3,3,1,3,3,1.8,3.1,2.9,1.9,2.7
3,46,English (native),Female,Left,Facebook,US,1,4,3,3,3,5,1,2,2,3,4,4,5,5,4,5,4,4,3,5,5,3,5,5,3,4,2,2,5,3,5,4,5,5,2,5,5,5,4,5,5,5,4,3,3,4,5,5,5,3,2.7,4.3,3.7,4.5,4.2
3,15,English (native),Male,Right,Test site,GB,1,1,2,1,2,4,2,3,4,1,1,2,4,4,2,2,2,2,2,4,5,5,2,5,4,5,4,5,5,1,5,5,5,1,2,4,5,4,2,5,5,2,5,5,5,5,5,5,2,5,2.1,2.5,4.1,3.8,4.4
3,18,English (native),Female,Left,Google,US,2,3,3,3,4,5,1,3,1,3,2,2,3,4,3,2,4,3,2,4,5,4,5,4,5,4,4,4,4,5,4,5,4,3,2,4,3,4,4,3,5,5,5,5,4,5,4,4,4,5,2.8,2.9,4.4,3.6,4.6
3,42,English (native),Male,Right,Facebook,US,2,2,2,2,2,3,3,2,2,1,3,2,3,3,3,2,2,1,3,2,2,3,4,3,4,3,3,2,3,2,3,1,3,2,1,1,2,3,2,4,5,5,3,5,5,4,4,5,5,4,2.1,2.4,2.9,2.2,4.5
3,27,English (native),Female,Right,Test site,US,1,4,2,2,2,4,1,2,2,1,3,2,5,3,4,2,3,2,3,2,5,4,4,4,4,4,5,4,4,3,4,4,5,4,5,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,2.1,2.9,4.1,4.1,3.9
1,17,English (native),Male,Right,Test site,US,5,5,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,4.6,1,1.8,4.2,5
8,17,English (native),Female,Right,NA,US,4,4,3,3,3,4,5,3,5,1,5,4,5,2,5,5,5,3,5,2,4,5,4,4,4,5,4,5,3,3,4,5,4,1,5,4,5,5,4,3,2,4,1,5,3,5,4,4,5,2,3.5,4.1,4.1,4,3.5
6,17,English (native),Female,Right,NA,US,2,3,2,2,2,4,2,2,3,1,3,3,4,3,4,3,4,2,4,3,3,3,4,4,3,4,3,3,3,3,4,4,5,3,2,3,4,3,2,3,3,3,4,3,4,4,4,2,4,5,2.3,3.3,3.3,3.3,3.6
13,60,English (native),Female,Right,NA,US,3,5,5,5,5,5,5,5,5,5,2,4,5,5,5,4,5,4,5,5,5,5,1,5,1,4,5,4,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,5,5,5,2,5,5,4.8,4.4,4,4.8,4.3
3,27,English (native),Female,Right,Google,CA,1,3,4,1,3,3,3,1,1,1,4,4,5,3,4,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,2,4,3,2,2,3,4,4,4,4,3,5,2,3,5,5,4,5,2,2.1,4,5,3.3,3.8
3,19,English (native),Female,Right,Google,US,4,4,4,3,5,4,5,4,5,3,5,4,4,4,4,3,3,3,3,4,5,4,4,4,4,3,5,3,5,4,5,3,3,3,4,3,5,5,5,5,5,4,4,4,5,5,4,4,4,5,4.1,3.7,4.1,4.1,4.4
3,20,English (native),Male,Right,Test site,US,1,1,2,1,2,3,1,2,2,1,3,2,3,3,2,2,2,2,4,3,2,3,2,2,3,2,2,3,3,3,3,3,4,4,2,3,3,3,2,4,4,3,5,3,3,4,3,3,4,3,1.6,2.6,2.5,3.1,3.5
4,19,English (native),Male,Right,Test site,IN,2,3,5,4,5,4,3,4,5,5,1,4,2,3,1,1,1,1,1,3,1,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,3,5,4,5,5,1,5,4,4,1.8,4.1,4.9,4
13,26,Not English (native),Female,Right,Test site,US,1,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,5,5,4,5,2,3,5,4,3,5,4,4,4,3,1,2,2,1,1,1,3,1,3,2,5,4,5,5,4,5,2,5,5,4,1,4.8,3.7,1.7,4.4
6,24,Not English (native),Male,Right,Test site,MX,1,4,3,1,4,5,1,3,4,2,4,3,5,3,4,4,4,4,5,3,2,3,1,4,5,5,3,3,3,2,4,1,4,2,1,2,3,2,2,3,4,4,5,4,5,3,5,4,4,5,2.8,3.9,3.1,2.4,4.3
3,19,English (native),Female,Left,Test site,US,1,2,2,2,1,4,1,2,2,1,5,4,5,4,2,4,5,4,3,3,4,4,3,5,4,4,4,3,4,2,4,3,5,2,2,2,5,4,4,4,4,3,4,3,3,4,4,3,4,4,1.8,3.9,3.7,3.5,3.6
3,18,English (native),Female,Right,NA,GB,2,3,2,1,2,5,1,3,5,1,5,4,5,4,5,5,5,5,5,5,3,2,3,2,3,5,3,3,3,3,1,1,3,1,3,1,3,1,2,4,5,3,5,2,5,5,4,5,5,5,2.5,4.8,3,2,4.4
3,14,English (native),Female,Right,Test site,US,2,4,2,4,4,5,2,4,2,2,4,3,4,4,3,5,4,4,4,2,2,4,2,2,4,3,5,3,3,2,2,3,5,3,1,1,2,3,2,3,5,4,4,4,4,4,3,4,5,5,3.1,3.7,3,2.5,4.2
13,25,Not English (native),Female,Right,Test site,IN,2,5,4,4,4,5,1,2,2,3,5,3,2,4,2,2,1,1,2,2,5,5,5,5,4,4,5,2,5,5,5,5,4,5,5,5,2,5,4,4,3,4,1,4,2,5,4,1,4,4,3.2,2.4,4.5,4.4,3.2
3,47,English (native),Male,Right,Test site,US,4,5,3,5,2,5,4,2,4,2,4,3,4,3,2,3,4,3,3,3,4,5,4,2,1,4,3,3,1,3,5,2,4,5,3,5,5,5,4,4,5,5,4,5,5,5,4,5,3,5,3.6,3.2,3,4.2,4.6
3,18,English (native),Male,Right,NA,US,2,2,2,2,2,2,2,2,2,2,4,3,4,5,2,4,3,3,4,4,4,2,4,4,3,2,2,2,4,3,3,2,3,3,2,3,3,2,2,4,4,2,4,2,3,3,4,3,4,3,2,3.6,3,2.7,3.2
3,23,Not English (native),Male,Left,Test site,SE,2,5,4,4,2,2,5,1,2,1,5,4,5,3,5,5,5,4,4,4,2,4,2,2,3,5,5,4,1,3,4,3,5,3,1,3,4,3,5,3,3,3,5,2,4,5,3,4,4,4,2.8,4.4,3.1,3.4,3.7
3,14,English (native),Other,Right,Test site,GB,2,4,2,4,2,5,1,4,4,2,5,3,4,4,4,3,4,3,4,3,5,4,4,3,5,4,5,2,2,2,2,2,3,2,1,1,3,1,2,3,4,4,3,4,3,4,4,4,2,2,3,3.7,3.6,2,3.4
3,20,English (native),Female,Right,Test site,US,1,2,2,1,1,4,1,1,1,1,5,4,5,4,4,4,2,2,4,2,5,5,5,5,5,4,5,4,5,3,4,4,2,4,2,5,4,4,4,2,5,5,5,3,4,5,5,4,5,4,1.5,3.6,4.6,3.5,4.5
5,35,English (native),Female,Left,Test site,US,4,5,5,3,5,5,1,5,4,5,5,4,5,2,4,5,2,2,4,2,5,5,5,5,5,5,5,3,5,5,2,5,5,2,1,5,5,4,5,3,5,5,5,2,5,5,5,5,2,5,4.2,3.5,4.8,3.7,4.4
3,34,English (native),Female,Right,Test site,US,4,5,4,4,5,4,5,4,4,4,2,3,4,4,2,3,4,2,2,3,5,5,4,5,5,5,5,5,4,4,4,4,4,5,4,5,5,5,4,4,3,4,4,5,3,4,3,3,5,3,4.3,2.9,4.7,4.4,3.7
13,36,Not English (native),Female,Right,Test site,JO,5,1,5,1,5,1,5,4,5,5,5,5,5,1,5,5,5,5,5,2,1,5,1,5,5,5,5,5,5,5,4,1,5,5,4,1,5,5,2,5,1,1,5,4,5,5,2,1,5,3,3.7,4.3,4.2,3.7,3.2
3,15,English (native),Male,Right,Test site,US,3,3,3,1,2,3,3,2,4,2,4,2,4,4,3,4,4,4,4,4,3,4,2,4,3,3,3,3,3,2,3,2,4,2,1,1,4,2,2,3,4,1,5,3,3,4,2,4,4,4,2.6,3.7,3,2.4,3.4
3,20,English (native),Male,Right,Test site,US,4,3,4,4,4,4,4,4,4,4,1,1,2,3,2,2,2,2,2,2,5,5,5,5,1,5,5,5,5,4,4,1,5,4,1,1,4,3,3,4,5,5,3,5,4,3,4,3,5,4,3.9,1.9,4.5,3,4.1
3,54,English (native),Female,Right,Test site,CA,2,3,4,3,2,4,2,2,2,2,3,2,3,1,1,1,1,1,2,1,4,3,5,3,3,4,3,4,3,5,4,4,5,5,5,1,4,5,4,5,3,3,5,4,5,5,4,2,4,5,2.6,1.6,3.7,4.2,4
3,47,Not English (native),Male,Right,NA,US,2,2,5,4,4,2,4,4,2,3,3,3,4,4,4,2,4,1,2,2,2,4,5,5,5,5,4,5,4,4,2,4,3,2,2,2,3,4,2,3,3,4,4,4,5,4,5,2,5,4,3.2,2.9,4.3,2.7,4
4,17,Not English (native),Male,Right,Test site,IN,3,1,4,2,3,2,2,1,4,1,5,2,5,3,4,5,5,5,4,4,2,5,2,5,4,5,2,5,5,5,3,4,5,1,2,2,3,3,3,4,3,3,5,3,3,2,3,4,5,3,2.3,4.2,4,3,3.4
11,45,Not English (native),Male,Right,Test site,US,4,2,4,4,3,4,4,2,5,3,2,2,4,2,1,2,1,1,2,2,5,3,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,2,5,1,5,3,3.5,1.9,4.6,4.9,3.9
3,32,English (native),Female,Right,Google,US,2,4,5,4,4,3,2,1,1,4,5,5,5,4,4,4,5,5,4,4,5,4,3,4,5,4,4,5,4,2,4,5,5,5,4,1,5,3,5,5,4,2,2,4,3,4,4,4,2,2,3,4.5,4,4.2,3.1
3,23,Not English (native),Female,Right,Google,NO,3,5,5,4,5,5,3,3,3,4,3,2,4,3,3,3,4,3,3,3,5,5,4,5,5,2,5,5,5,4,2,2,4,4,3,2,2,3,1,4,3,4,4,5,4,3,4,4,5,3,4,3.1,4.5,2.7,3.9
11,23,English (native),Female,Right,Test site,US,4,5,4,4,4,5,2,4,5,2,4,4,5,1,1,2,2,1,1,1,4,5,5,5,4,4,5,3,4,5,3,3,4,4,2,3,3,4,3,4,3,4,4,4,4,5,4,3,2,4,3.9,2.2,4.4,3.3,3.7
3,14,English (native),Female,Right,Test site,US,1,4,2,1,4,5,1,4,2,1,5,5,5,5,5,5,5,3,5,5,5,3,5,5,4,5,4,4,4,3,4,3,3,2,3,2,5,4,5,4,4,4,5,4,2,5,4,5,4,5,2.5,4.8,4.2,3.5,4.2
3,19,English (native),Male,Right,Test site,IE,5,4,2,3,2,4,5,1,3,1,4,1,5,4,4,3,3,2,3,3,3,4,3,5,4,4,5,4,4,3,3,1,3,3,1,1,4,2,2,2,4,5,5,5,4,5,5,4,5,4,3,3.2,3.9,2.2,4.6
3,15,English (native),Female,Right,Test site,NZ,1,2,2,2,3,1,3,1,2,1,5,3,5,3,2,5,5,5,4,1,4,5,5,5,5,3,5,4,4,3,3,1,3,1,1,1,3,3,3,4,2,3,4,4,4,3,3,3,5,3,1.8,3.8,4.3,2.3,3.4
3,49,Not English (native),Female,Right,Test site,FI,3,4,4,2,5,4,4,2,2,4,4,2,4,2,3,2,2,2,4,2,3,4,4,4,2,4,4,3,3,4,2,1,3,2,1,1,3,2,2,2,5,5,4,5,4,4,5,5,5,4,3.4,2.7,3.5,1.9,4.6
5,47,English (native),Female,Left,Google,US,1,1,2,1,1,1,1,2,2,1,5,4,3,5,2,4,3,3,2,5,4,4,5,4,4,5,5,4,4,5,3,2,5,4,1,2,4,5,3,5,3,3,5,4,5,5,5,3,5,5,1.3,3.6,4.4,3.4,4.3
3,23,Not English (native),Female,Right,Google,BE,3,2,4,3,4,5,1,1,1,1,5,2,5,3,4,5,3,1,5,3,5,5,5,5,5,5,5,3,5,5,4,2,5,5,1,4,4,5,3,4,5,2,3,2,2,4,4,4,4,3,2.5,3.6,4.8,3.7,3.3
3,19,Not English (native),Female,Right,Test site,FI,1,1,2,1,2,4,1,1,1,2,5,5,5,5,5,4,2,2,4,5,3,2,1,2,3,3,2,2,2,2,4,4,5,3,2,4,4,2,4,4,4,3,5,3,4,5,4,4,4,4,1.6,4.2,2.2,3.6,4
3,36,English (native),Male,Right,Test site,US,3,4,1,3,5,4,1,1,2,1,4,3,5,3,4,3,3,3,5,3,5,5,2,4,5,4,4,5,4,3,5,4,4,4,4,5,5,5,5,5,5,2,3,4,4,3,4,5,4,4,2.5,3.6,4.1,4.6,3.8
3,21,English (native),Female,Right,Test site,GB,2,3,4,4,4,5,4,2,4,2,5,5,5,5,1,5,5,4,3,5,5,5,4,5,5,4,5,5,5,3,4,1,2,1,2,1,4,3,2,3,4,4,5,4,4,5,5,4,5,4,3.4,4.3,4.6,2.3,4.4
3,21,Not English (native),Female,Right,Test site,BE,3,5,3,5,5,5,1,4,3,1,5,5,5,4,4,5,4,4,5,5,5,5,1,5,5,3,5,5,5,3,3,1,5,1,1,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,3.5,4.6,4.2,3.1,4.9
3,13,English (native),Male,Right,Test site,GB,3,2,3,3,3,1,2,1,3,2,5,2,5,5,4,5,5,5,5,5,4,2,2,3,4,3,2,3,3,4,3,3,4,2,3,2,3,3,3,3,4,5,4,5,2,4,4,4,5,3,2.3,4.6,3,2.9,4
13,21,Not English (native),Female,Right,NA,US,3,3,3,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,4,4,5,4,4,4,4,3,5,4,5,4,5,5,3,3,3,2,4,4,3,4,3,4,2,3,4,3.1,3,4,4,3.3
3,32,Not English (native),Male,Right,Test site,HR,4,4,5,3,5,5,4,5,5,5,1,3,3,3,2,1,1,1,1,2,3,4,4,4,5,4,4,4,4,5,5,5,5,4,3,5,2,4,5,3,5,4,3,3,3,5,5,2,3,3,4.5,1.8,4.1,4.1,3.6
3,33,English (native),Female,Right,Test site,US,4,5,5,4,5,5,5,5,5,4,3,2,4,3,2,3,2,3,3,2,5,5,5,5,5,4,5,1,5,5,3,4,4,4,4,5,4,5,4,3,4,4,5,4,5,5,5,4,4,5,4.7,2.7,4.5,4,4.5
3,33,English (native),Male,Right,Test site,US,3,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3.9,2.2,3.6,3.9,3.9
3,16,English (native),Male,Right,Test site,GB,2,4,2,3,2,4,5,3,3,1,3,3,4,5,2,4,3,3,4,5,2,3,2,4,3,4,2,3,3,2,2,4,3,2,3,3,4,2,3,3,5,4,5,4,2,5,4,3,4,3,2.9,3.6,2.8,2.9,3.9
3,21,Not English (native),Female,Right,Test site,BE,3,4,2,4,4,3,4,2,4,2,4,3,5,4,2,3,4,4,3,4,3,1,5,4,3,3,2,3,4,4,3,3,5,3,2,1,4,3,2,4,4,5,5,5,4,5,5,4,4,4,3.2,3.6,3.2,3,4.5
3,31,Not English (native),Female,Right,NA,NO,3,3,5,4,5,5,2,3,3,4,1,1,2,5,1,2,1,1,3,3,5,3,5,4,4,3,4,3,3,3,3,5,2,5,5,4,4,3,2,4,3,2,3,3,3,2,5,1,4,5,3.7,2,3.7,3.7,3.1
3,17,English (native),Male,Right,Test site,US,1,1,1,1,1,2,1,1,3,1,4,3,5,5,4,3,1,1,1,1,5,5,5,5,5,3,5,5,4,4,1,2,5,5,1,1,1,3,1,3,5,5,5,5,5,5,4,5,5,5,1.3,2.8,4.6,2.3,4.9
3,26,English (native),Female,Right,NA,GB,2,3,3,3,3,4,2,3,2,1,3,3,3,3,3,3,3,2,3,2,5,4,4,5,5,4,4,3,4,4,3,4,4,3,4,4,5,3,4,4,5,4,2,4,2,2,4,4,4,2,2.6,2.8,4.2,3.8,3.3
3,34,Not English (native),Male,Right,Test site,BE,4,4,3,4,4,5,2,3,3,3,5,2,5,5,4,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,1,5,3,1,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,3.5,3.9,5,3.1,5
1,21,English (native),Female,Right,Test site,ZA,1,5,5,3,5,5,1,1,1,3,1,3,3,5,1,1,1,1,1,1,5,5,5,3,5,3,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,1,5,2,5,4,3,1.8,4.2,5,3.8
3,26,Not English (native),Female,Right,Google,US,5,3,5,4,3,5,5,4,4,2,1,1,1,1,5,1,2,2,5,1,2,5,5,2,2,4,4,5,4,4,4,3,4,3,4,3,3,3,4,4,4,4,4,4,4,5,5,3,4,4,4,2,3.7,3.5,4.1
3,22,Not English (native),Female,Right,Test site,NO,2,3,3,2,4,4,3,4,4,2,1,2,2,2,1,1,2,1,1,1,4,3,2,3,3,3,3,4,2,5,5,1,4,3,2,4,3,3,2,3,5,3,4,2,4,4,3,4,4,3,3.1,1.4,3.2,3,3.6
3,19,Not English (native),Female,Right,Test site,NO,1,2,2,4,2,3,1,3,2,1,5,4,5,5,4,4,4,4,3,5,5,4,4,5,4,5,5,3,4,3,2,4,4,3,2,3,4,4,2,2,4,3,4,5,1,4,3,3,4,3,2.1,4.3,4.2,3,3.4
3,19,Not English (native),Male,Right,Test site,FI,4,2,2,2,2,2,2,1,1,2,2,2,2,3,3,3,4,3,4,3,3,4,1,4,3,3,3,4,3,3,3,3,3,1,1,2,1,3,2,2,4,4,4,4,3,4,4,4,4,3,2,2.9,3.1,2.1,3.8
